group_id,predicted,original,label
748919,500 gram,500.0 gram,1
916768,,1.0 cup,0
459516,0.709 gram,0.709 gram,1
459516,0.709 gram,0.709 gram,1
731432,,1400 milligram,0
731432,1400 milligram,1400 milligram,1
731432,1400 milligram,1400 milligram,1
731432,1400 milligram,1400 milligram,1
731432,1400 milligram,1400 milligram,1
731432,1400 milligram,1400 milligram,1
149159,30 kilogram,30.0 kilogram,1
308856,10 kilogram,10 kilogram to 15 kilogram,0
281678,100 gram,3.53 ounce,0
281678,100 gram,3.53 ounce,0
281678,100 gram,53 ounce,0
281678,,100 gram,0
731432,200 gram,200 gram,1
731432,200 gram,1 kilogram,0
731432,200 gram,200 gram,1
731432,200 gram,200 gram,1
731432,,200 gram,0
252585,,4.0 gallon,0
299791,2.7 gram,2.7 gram,1
884560,28 gram,112 gram,0
179080,4.1 kilogram,4.1 kilogram,1
179080,48 volt,48.0 volt,1
866516,158 gram,158.0 gram,1
866516,158 gram,158.0 gram,1
459516,5000 milligram,5000 milligram,1
524635,55 gram,18.55 gram,0
524635,55 gram,18.55 gram,0
524635,1855 gram,18.55 gram,0
524635,55 gram,18.55 gram,0
524635,855 gram,18.55 gram,0
730429,,50.0 gram,0
881883,26 gram,26.0 gram,1
179080,800 watt,800.0 watt,1
179080,36 volt,36.0 volt,1
601746,,330.0 pound,0
487566,,31.0 ounce,0
794161,10 gram,0.35 ounce,0
639090,35 gram,35.0 gram,1
752266,150 watt,150.0 watt,1
752266,150 watt,150.0 watt,1
752266,30 watt,30.0 watt,1
752266,30 watt,30.0 watt,1
299791,15.5 gram,15.5 gram,1
237000,200 gram,200.0 gram,1
179080,250 watt,250.0 watt,1
884560,,10.0 ounce,0
844474,0.8 kilogram,0.8 kilogram,1
709627,169 gram,169.0 gram,1
299791,10 gram,10.0 gram,1
523149,,7.0 gram,0
630390,750 gram,750.0 gram,1
810266,160 gram,160.0 gram,1
748919,270 gram,270.0 gram,1
993359,500 gram,500 gram,1
731432,60 gram,1 kilogram,0
731432,60 gram,10 kilogram,0
731432,60 gram,1 kilogram,0
731432,1 kilogram,2.2 pound,0
752266,60 watt,60.0 watt,1
459516,30 millilitre,30.0 millilitre,1
459516,30 millilitre,30.0 millilitre,1
459516,30 millilitre,30.0 millilitre,1
459516,30 millilitre,30.0 millilitre,1
459516,30 millilitre,30.0 millilitre,1
529606,2 gram,2 ounce,1
299791,8.1 gram,8.1 gram,1
